"GEOCODIGO1","Quantidade_Paralizacao","GEOCODIGO"
240650,NA,2406502
240660,NA,2406601
240670,NA,2406700
240680,NA,2406809
240690,NA,2406908
240700,NA,2407005
240710,NA,2407104
240720,NA,2407203
240725,NA,2407252
240730,NA,2407302
240740,NA,2407401
240760,NA,2407609
240780,NA,2407807
240790,NA,2407906
240800,NA,2408003
240830,NA,2408300
240840,NA,2408409
240850,NA,2408508
240860,NA,2408607
240870,NA,2408706
240880,NA,2408805
240890,NA,2408904
240910,NA,2409100
240920,NA,2409209
240930,NA,2409308
240933,NA,2409332
240940,NA,2409407
240950,NA,2409506
240960,NA,2409605
240970,NA,2409704
240990,NA,2409902
241000,NA,2410009
241010,NA,2410108
241020,NA,2410207
241025,NA,2410256
241030,NA,2410306
241040,NA,2410405
241050,NA,2410504
241060,NA,2410603
241070,NA,2410702
241080,NA,2410801
241090,NA,2410900
241100,NA,2411007
241105,NA,2411056
241110,NA,2411106
241120,6,2411205
241140,NA,2411403
241142,NA,2411429
241150,NA,2411502
241160,NA,2411601
241170,NA,2411700
241180,NA,2411809
241190,NA,2411908
241210,NA,2412104
241230,NA,2412302
241240,NA,2412401
241250,NA,2412500
241255,NA,2412559
241260,NA,2412609
241270,NA,2412708
241280,NA,2412807
241290,NA,2412906
241300,NA,2413003
241310,NA,2413102
241330,NA,2413300
241335,NA,2413359
241340,12,2413409
241350,NA,2413508
241355,NA,2413557
241360,NA,2413607
241370,NA,2413706
241380,NA,2413805
241390,NA,2413904
241400,NA,2414001
241410,NA,2414100
241415,NA,2414159
241430,NA,2414308
241440,NA,2414407
241445,NA,2414456
241450,NA,2414506
241460,NA,2414605
241470,NA,2414704
241475,NA,2414753
241480,NA,2414803
241490,NA,2414902
250010,NA,2500106
250020,NA,2500205
250053,0,2500536
250057,NA,2500577
250070,NA,2500700
250073,NA,2500734
250077,NA,2500775
250090,NA,2500908
250100,NA,2501005
250115,NA,2501153
250120,NA,2501203
250130,NA,2501302
250135,NA,2501351
250150,NA,2501500
250153,NA,2501534
250157,NA,2501575
250160,NA,2501609
250170,NA,2501708
250200,NA,2502003
250205,NA,2502052
250210,NA,2502102
250215,NA,2502151
250220,NA,2502201
250230,NA,2502300
250240,NA,2502409
250250,NA,2502508
250260,NA,2502607
250280,NA,2502805
250290,NA,2502904
250310,NA,2503100
250330,NA,2503308
250340,NA,2503407
250350,NA,2503506
250355,NA,2503555
250360,NA,2503605
250370,NA,2503704
250375,NA,2503753
250390,NA,2503902
250400,NA,2504009
250407,NA,2504074
250410,NA,2504108
250415,NA,2504157
250420,NA,2504207
250430,NA,2504306
250435,NA,2504355
250440,NA,2504405
250450,NA,2504504
250470,NA,2504702
250480,NA,2504801
250485,NA,2504850
250500,NA,2505006
250510,NA,2505105
250530,NA,2505303
250535,NA,2505352
250540,NA,2505402
250550,NA,2505501
250560,NA,2505600
250570,NA,2505709
250590,NA,2505907
250600,NA,2506004
250610,NA,2506103
250620,NA,2506202
250625,NA,2506251
250650,NA,2506509
250660,NA,2506608
250670,NA,2506707
250680,NA,2506806
250690,NA,2506905
250700,NA,2507002
250720,NA,2507200
250740,NA,2507408
250770,NA,2507705
250780,NA,2507804
250800,NA,2508000
250810,NA,2508109
250830,NA,2508307
250840,NA,2508406
250850,NA,2508505
250855,NA,2508554
250870,7,2508703
250880,NA,2508802
250900,NA,2509008
250915,NA,2509156
250920,NA,2509206
250937,NA,2509370
250939,NA,2509396
250940,NA,2509404
250950,NA,2509503
250960,NA,2509602
250970,NA,2509701
250990,NA,2509909
251000,NA,2510006
251010,NA,2510105
251020,NA,2510204
251030,NA,2510303
251040,NA,2510402
251050,NA,2510501
251060,NA,2510600
251065,NA,2510659
251070,NA,2510709
251080,NA,2510808
251090,NA,2510907
251100,2,2511004
251110,NA,2511103
251130,NA,2511301
251140,NA,2511400
251200,NA,2512002
251203,NA,2512036
251207,NA,2512077
251210,NA,2512101
251220,NA,2512200
251230,NA,2512309
251240,NA,2512408
251250,NA,2512507
251260,NA,2512606
251270,NA,2512705
251274,NA,2512747
251275,NA,2512754
251278,NA,2512788
251280,NA,2512804
251300,NA,2513000
251310,NA,2513109
251315,NA,2513158
251320,NA,2513208
251330,NA,2513307
251335,3,2513356
251340,NA,2513406
251350,NA,2513505
251360,NA,2513604
251365,NA,2513653
251380,NA,2513802
251385,NA,2513851
251390,NA,2513901
251392,NA,2513927
251394,NA,2513943
251396,NA,2513968
251398,NA,2513984
251400,NA,2514008
251410,NA,2514107
251420,NA,2514206
251430,NA,2514305
251440,NA,2514404
251450,NA,2514503
251455,NA,2514552
251460,NA,2514602
251465,NA,2514651
251470,NA,2514701
251480,NA,2514800
251490,NA,2514909
251510,NA,2515104
251520,0,2515203
251540,NA,2515401
251550,NA,2515500
251570,NA,2515708
251600,NA,2516003
251610,NA,2516102
251615,NA,2516151
251620,7,2516201
251630,NA,2516300
251640,NA,2516409
251650,NA,2516508
251660,NA,2516607
251670,NA,2516706
251675,0,2516755
251680,NA,2516805
251690,NA,2516904
251700,NA,2517001
251710,NA,2517100
251720,NA,2517209
251740,8,2517407
260010,16,2600104
260020,0,2600203
260030,0,2600302
260050,0,2600500
260060,0,2600609
260080,0,2600807
260100,0,2601003
260110,16,2601102
260120,0,2601201
260160,0,2601607
260170,0,2601706
260180,0,2601805
260190,0,2601904
260200,14,2602001
260210,0,2602100
260220,0,2602209
260240,0,2602407
260250,0,2602506
260260,0,2602605
260280,0,2602803
260300,10,2603009
260310,0,2603108
260320,0,2603207
260330,0,2603306
260340,6,2603405
260350,2,2603504
260370,0,2603702
260380,0,2603801
260390,6,2603900
260392,0,2603926
260410,0,2604106
260415,0,2604155
260430,0,2604304
260450,0,2604502
260470,0,2604700
260490,0,2604908
260500,0,2605004
260510,0,2605103
260515,0,2605152
260530,22,2605301
260560,9,2605608
260570,5,2605707
260580,1,2605806
260600,0,2606002
260630,10,2606309
260640,3,2606408
260650,NA,2606507
260660,0,2606606
260670,0,2606705
260690,0,2606903
260700,9,2607000
260710,0,2607109
260730,0,2607307
260740,0,2607406
260750,0,2607505
260770,0,2607703
260800,0,2608008
260805,11,2608057
260810,3,2608107
260825,0,2608255
260830,0,2608305
260840,0,2608404
260860,0,2608602
260870,0,2608701
260875,0,2608750
260880,2,2608800
260915,0,2609154
260930,0,2609303
260970,4,2609709
260980,2,2609808
260990,7,2609907
261010,0,2610103
261020,0,2610202
261030,0,2610301
261040,3,2610400
261050,0,2610509
261080,0,2610806
261090,3,2610905
261100,2,2611002
261110,8,2611101
261120,0,2611200
261153,5,2611533
261170,0,2611705
261200,0,2612000
261210,0,2612109
261220,25,2612208
261230,0,2612307
261240,0,2612406
261245,18,2612455
261247,0,2612471
261250,0,2612505
261255,6,2612554
261260,0,2612604
261270,0,2612703
261280,0,2612802
261300,7,2613008
261310,0,2613107
261320,1,2613206
261330,0,2613305
261350,1,2613503
261360,3,2613602
261390,15,2613909
261400,8,2614006
261410,10,2614105
261430,5,2614303
261440,0,2614402
261450,0,2614501
261460,4,2614600
261470,0,2614709
261480,0,2614808
261500,0,2615003
261510,1,2615102
261520,17,2615201
261540,0,2615409
261560,15,2615607
261570,0,2615706
261580,0,2615805
261590,2,2615904
261600,0,2616001
261610,4,2616100
261618,0,2616183
261620,0,2616209
270010,126,2700102
270030,156,2700300
270070,22,2700706
270090,12,2700904
270120,32,2701209
270160,220,2701605
270180,44,2701803
270200,6,2702009
270235,116,2702355
270240,144,2702405
270250,32,2702504
270255,9,2702553
270290,84,2702900
270310,104,2703106
270330,198,2703304
270340,12,2703403
270370,32,2703700
270410,89,2704104
270440,52,2704401
270460,28,2704609
270500,420,2705002
270530,12,2705309
270540,22,2705408
270570,25,2705705
270580,152,2705804
270600,27,2706000
270610,30,2706109
270620,20,2706208
270630,20,2706307
270640,22,2706406
270642,146,2706422
270710,24,2707107
270720,25,2707206
270760,10,2707602
270800,30,2708006
270840,27,2708402
270895,52,2708956
270920,43,2709202
280010,0,2800100
280020,0,2800209
280110,0,2801108
280120,0,2801207
280140,0,2801405
280160,0,2801603
280190,0,2801900
280220,0,2802205
280230,0,2802304
280240,0,2802403
280260,0,2802601
280310,0,2803104
280370,0,2803708
280420,0,2804201
280445,0,2804458
280450,0,2804508
280460,0,2804607
280470,0,2804706
280500,0,2805000
280520,0,2805208
280540,0,2805406
280550,0,2805505
280560,0,2805604
280570,0,2805703
280600,0,2806008
280700,0,2807006
280710,0,2807105
280730,0,2807303
280740,0,2807402
290010,NA,2900108
290020,6,2900207
290035,0,2900355
290040,0,2900405
290050,5,2900504
290100,11,2901007
290115,98,2901155
290120,1,2901205
290130,2,2901304
290135,21,2901353
290150,0,2901502
290160,3,2901601
290170,1,2901700
290180,2,2901809
290200,9,2902005
290210,7,2902104
290260,9,2902609
290265,1,2902658
290270,NA,2902708
290280,27,2902807
290290,11,2902906
290300,5,2903003
290323,15,2903235
290327,18,2903276
290350,2,2903508
290360,13,2903607
290370,0,2903706
290380,0,2903805
290390,82,2903904
290395,2,2903953
290400,0,2904001
290405,0,2904050
290410,NA,2904100
290420,1,2904209
290430,2,2904308
290440,54,2904407
290450,0,2904506
290460,3,2904605
290475,NA,2904753
290480,2,2904803
290485,18,2904852
290500,3,2905008
290510,0,2905107
290515,2,2905156
290520,11,2905206
290530,4,2905305
290550,17,2905503
290590,8,2905909
290600,0,2906006
290620,33,2906204
290640,0,2906402
290660,15,2906600
290670,3,2906709
290680,10,2906808
290682,36,2906824
290685,33,2906857
290687,4,2906873
290689,10,2906899
290710,8,2907103
290720,7,2907202
290730,22,2907301
290755,2,2907558
290760,4,2907608
290770,0,2907707
290780,1,2907806
290790,1,2907905
290810,NA,2908101
290840,0,2908408
290870,6,2908705
290880,2,2908804
290900,7,2909000
290910,12,2909109
290920,36,2909208
290950,10,2909505
290960,1,2909604
290990,7,2909901
291010,NA,2910107
291030,9,2910305
291040,3,2910404
291070,19,2910701
291075,8,2910750
291077,NA,2910776
291080,17,2910800
291085,13,2910859
291125,14,2911253
291130,2,2911303
291140,0,2911402
291165,2,2911659
291170,30,2911709
291185,8,2911857
291190,0,2911907
291200,6,2912004
291220,0,2912202
291240,3,2912400
291250,4,2912509
291260,4,2912608
291300,0,2913002
291310,0,2913101
291320,6,2913200
291330,0,2913309
291340,NA,2913408
